created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-08-08T14:32:35+00:00,1,209.25,0.41,0.55,0.99,0,0.39,0,0,,,,
2022-08-08T14:35:16+00:00,2,211.8,0,0.55,0.99,0,0.88,0,0,,,,
2022-08-08T14:35:46+00:00,3,211.8,0.41,0.55,0.89,0,0.97,0,0,,,,
2022-08-08T14:36:37+00:00,4,208.76,0.55,0.28,0.99,0,0.04,0,0,,,,
2022-08-08T14:37:17+00:00,5,208.76,3.06,3.62,0.88,0,0.66,0,0,,,,
2022-08-08T14:37:57+00:00,6,208.76,3.06,3.62,0.93,0,1.42,0,0,,,,
2022-08-08T14:38:17+00:00,7,208.76,3.06,3.62,0.91,0,1.74,0,0,,,,
2022-08-08T14:38:37+00:00,8,208.76,3.06,3.62,0.97,0,2.21,0,0,,,,
2022-08-08T14:40:17+00:00,9,209.59,0.27,3.62,0.87,0,3.99,0,0,,,,
2022-08-08T14:42:38+00:00,10,206.67,0.41,0.41,0.93,0,0.15,0,0,,,,
2022-08-08T14:43:08+00:00,11,206.67,0.27,0.41,0.88,0,0.2,0,0,,,,
2022-08-08T14:43:38+00:00,12,207.08,0.41,0.41,0.86,0,0.27,0,0,,,,
2022-08-08T14:44:48+00:00,13,207.08,0.41,0.41,0.89,0,0.43,0,0,,,,
2022-08-08T14:45:29+00:00,14,207.08,0.13,0.41,0.93,0,0.52,0,0,,,,
2022-08-08T14:46:09+00:00,15,207.5,0.69,0.41,0.94,0,0.61,0,0,,,,
2022-08-08T14:46:49+00:00,16,207.5,0.27,0.41,0.94,0,0.63,0,0,,,,
2022-08-08T14:47:09+00:00,17,207.5,0.27,0.41,0.94,0,0.63,0,0,,,,
2022-08-08T14:47:30+00:00,18,207.5,0.27,0.28,0.82,0,0.02,0,0,,,,
2022-08-08T14:47:50+00:00,19,207.5,0.13,0.41,0.89,0,0.06,0,0,,,,
2022-08-08T14:48:10+00:00,20,207.5,0.55,0.41,0.99,0,0.1,0,0,,,,
2022-08-08T14:48:40+00:00,21,207.92,0.41,0.41,0.81,0,0.16,0,0,,,,
2022-08-08T14:49:40+00:00,22,208.34,0.13,0.41,0.95,0,0.31,0,0,,,,
2022-08-08T14:50:00+00:00,23,208.34,3.06,2.92,0.96,0,0.46,0,0,,,,
2022-08-08T14:50:30+00:00,24,208.34,3.06,2.92,0.91,0,0.94,0,0,,,,
2022-08-08T14:51:10+00:00,25,208.34,3.06,3.2,0.87,0,1.61,0,0,,,,
2022-08-08T14:51:30+00:00,26,208.34,3.06,3.34,0.89,0,1.89,0,0,,,,
2022-08-08T14:51:50+00:00,27,208.34,3.06,3.34,0.84,0,2.28,0,0,,,,
2022-08-08T14:52:10+00:00,28,208.34,3.06,3.34,0.86,0,2.55,0,0,,,,
2022-08-08T14:53:10+00:00,29,200.81,3.48,2.92,0.88,2.06,0,0,0,,,,
2022-08-08T14:54:01+00:00,30,208.34,0.27,3.34,0.99,18.78,0,0,0,,,,
2022-08-08T14:54:40+00:00,31,208.76,0.41,0.28,0.99,0.48,0,0,0,,,,
2022-08-08T14:56:11+00:00,32,208.76,0.27,0.41,0.92,4.52,0,0,0,,,,
2022-08-08T14:56:41+00:00,33,208.76,0.13,0.41,0.99,6,0,0,0,,,,
2022-08-08T14:57:11+00:00,34,208.76,0.55,0.41,0.92,7.36,0,0,0,,,,
2022-08-08T14:57:41+00:00,35,208.76,0.41,0.41,0.96,8.76,0,0,0,,,,
2022-08-08T14:58:11+00:00,36,208.76,0.27,0.41,0.97,9.88,0,0,0,,,,
2022-08-08T14:58:42+00:00,37,207.08,0.13,0,0.99,0,0,0,0,,,,
2022-08-08T14:59:11+00:00,38,207.08,0.13,0.69,0.96,2.52,0,0,0,,,,
2022-08-08T14:59:31+00:00,39,207.08,0.41,0.69,0.85,3.7,0,0,0,,,,
2022-08-08T14:59:51+00:00,40,207.08,0.13,0.69,0.98,5.56,0,0,0,,,,
2022-08-08T15:01:12+00:00,41,207.08,0.13,0.83,0.91,12.1,0.04,0,0,,,,
2022-08-08T15:02:12+00:00,42,207.08,0.27,0.83,0.99,17.18,0.04,0,0,,,,
2022-08-08T15:02:42+00:00,43,201.65,2.92,2.78,0.91,6.64,0,0,0,,,,
2022-08-08T15:03:12+00:00,44,201.65,3.06,3.06,0.87,16.44,0,0,0,,,,
2022-08-08T15:03:32+00:00,45,201.65,2.92,3.06,0.86,21.44,0,0,0,,,,
2022-08-08T15:04:12+00:00,46,201.65,2.92,3.06,0.92,34.06,0,0,0,,,,
2022-08-08T15:04:52+00:00,47,201.65,2.92,3.34,0.99,48,0,0,0,,,,
2022-08-08T15:05:12+00:00,48,201.65,3.06,3.34,0.86,55.92,0,0,0,,,,
2022-08-08T15:08:13+00:00,49,205.41,0.13,3.34,0.96,118.14,0,-24.04,34.79,,,,
2022-08-08T15:08:33+00:00,50,206.25,0.41,3.34,0.86,126.44,0,-27.89,35.08,,,,
2022-08-08T15:09:13+00:00,51,206.25,0.41,3.34,0.88,140.72,0,-34.11,35.96,,,,
2022-08-08T15:10:13+00:00,52,201.65,0.41,0.41,0.96,0.8,0,0.11,0.51,,,,
2022-08-08T15:10:43+00:00,53,201.65,0.41,0.41,0.85,1.84,0,0.04,0.96,,,,
2022-08-08T15:11:13+00:00,54,202.06,0.55,0.41,0.84,3.12,0,-0.06,1.49,,,,
2022-08-08T15:11:43+00:00,55,202.06,0.41,2.78,0.99,12.64,0,-1,5.29,,,,
2022-08-08T15:12:13+00:00,56,202.06,0.55,2.78,0.99,20.08,0,-4.27,5.72,,,,
2022-08-08T15:12:43+00:00,57,198.3,0.27,0.14,0.91,0.32,0,0.16,0.32,,,,
2022-08-08T15:14:13+00:00,58,199.55,0.41,2.78,0.88,14.98,0,-4.54,2.91,,,,
2022-08-08T15:14:34+00:00,59,199.55,0.13,2.78,0.99,21.76,0,-7.75,3.08,,,,
2022-08-08T15:15:44+00:00,60,200.39,0.13,2.78,0.99,42.32,0,-17.08,3.99,,,,
2022-08-08T15:16:04+00:00,61,200.39,0.13,2.78,0.94,46.9,0,-19.07,4.27,,,,
2022-08-08T15:17:56+00:00,62,201.23,0.41,2.64,0.99,22.52,0,-8.01,3.2,,,,
2022-08-08T15:18:27+00:00,63,201.23,0.13,2.64,0.93,31.26,0,-11.91,3.65,,,,
2022-08-08T15:19:37+00:00,64,202.06,0.27,2.64,0.81,47.58,0,-18.86,4.83,,,,
2022-08-08T15:21:19+00:00,65,205.41,0.27,2.64,0.85,75.6,0,-31.26,6.38,,,,
2022-08-08T15:23:09+00:00,66,201.65,0.13,0.14,0.99,0.14,0,0,0.07,,,,
2022-08-08T15:23:50+00:00,67,12.55,0.13,0.14,0,0,0,0,0,,,,
2022-08-08T15:24:30+00:00,68,202.06,0.13,-0.13,0.94,-0.24,0,0.21,0.08,,,,
2022-08-08T15:25:01+00:00,69,201.65,0.41,0.28,0.84,0,0,0.39,0.38,,,,
2022-08-08T15:25:42+00:00,70,203.32,0.13,0.55,0.89,0.74,0,0.56,0.93,,,,
2022-08-08T15:26:42+00:00,71,209.18,0.27,0.41,0.83,6.74,0,0.99,4.36,,,,
2022-08-08T15:27:02+00:00,72,64.84,0.27,0.14,0.97,7.42,0,0.89,4.59,,,,
2022-08-08T15:27:53+00:00,73,209.18,0.13,0.14,0.97,8.28,0,0.82,4.95,,,,
2022-08-08T15:28:13+00:00,74,210.43,0.55,0.41,0.83,1.32,0,0.21,0.87,,,,
2022-08-08T15:29:23+00:00,75,210.01,0.41,0.28,0.95,3.36,0,0.97,2.66,,,,
2022-08-08T15:30:03+00:00,76,209.18,0.41,0.28,0,0,0,0,0,,,,
2022-08-08T15:30:54+00:00,77,205.41,0.55,0.41,0.95,1.5,0,0.24,1,,,,
2022-08-08T15:31:44+00:00,78,206.67,0.41,0.41,0.95,4.04,0,0.74,2.76,,,,
2022-08-08T15:32:14+00:00,79,206.67,0.41,0.41,0.95,4.04,0,0.74,2.76,,,,
2022-08-08T15:33:24+00:00,80,202.9,0.27,0.14,0.99,6.14,0.3,6.71,6.83,,,,
2022-08-08T15:33:54+00:00,81,204.16,0.27,0.14,0.99,6.42,0.3,6.85,7.11,,,,
2022-08-08T15:34:24+00:00,82,206.25,0.55,0.28,0.89,7.46,0.3,7.36,8.15,,,,
2022-08-08T15:36:25+00:00,83,200.81,0.27,0.14,0.93,8,0.3,7.76,8.81,,,,
2022-08-08T15:36:55+00:00,84,201.23,0.41,0.28,0.93,8.54,0.3,7.89,9.21,,,,
2022-08-08T15:38:05+00:00,85,199.14,3.2,2.78,0.91,9.9,0.55,13.39,12.83,,,,
2022-08-08T15:38:25+00:00,86,197.04,3.34,3.06,0.88,9.9,0.82,19.03,15.77,,,,
2022-08-08T15:39:36+00:00,87,201.23,0.69,0.41,0.99,11.6,1.07,25.29,20.4,,,,
2022-08-08T15:39:56+00:00,88,202.06,0.13,0.28,0.99,12.16,1.07,25.15,20.54,,,,
2022-08-08T15:42:17+00:00,89,202.9,0.41,0.28,0.98,14.94,1.89,42.66,31.28,,,,
2022-08-08T15:42:47+00:00,90,202.48,0.55,0.41,0.99,16.08,1.89,43.08,32.26,,,,
2022-08-08T15:43:57+00:00,91,200.81,0.69,0.14,0.85,0.24,0,0.47,0.6,,,,
2022-08-08T15:46:29+00:00,92,206.25,0.27,0.14,0.96,0.26,0,0.13,0.26,,,,
2022-08-08T15:48:09+00:00,93,205.41,0.41,0.28,0.99,2,0,0,0.99,,,,
2022-08-08T15:48:49+00:00,94,206.67,0.27,0.28,0.95,3.1,0,0,1.54,,,,
2022-08-08T15:49:10+00:00,95,203.32,0.55,0.14,0.84,0.22,0,0.34,0.45,,,,
2022-08-08T15:49:40+00:00,96,202.9,0.13,0.41,0.98,1.62,0,0.06,0.87,,,,
2022-08-08T15:50:00+00:00,97,200.81,0.27,0.28,0.95,2.16,0,0.05,1.14,,,,
2022-08-08T15:51:01+00:00,98,201.65,0.41,0.28,0.98,4.4,0,0.05,2.25,,,,
2022-08-08T15:51:51+00:00,99,199.14,0.41,0.28,0.95,0.52,0,0.13,0.39,,,,
2022-08-08T15:52:21+00:00,100,196.21,3.2,2.92,0.86,5.5,0.25,5.52,5.76,,,,
2022-08-08T15:52:41+00:00,101,198.3,3.2,2.92,0.85,5.5,0.5,10.75,8.49,,,,
2022-08-08T15:53:01+00:00,102,199.55,2.78,2.5,0.82,9.64,0.5,10.98,10.79,,,,
2022-08-08T15:53:32+00:00,103,197.04,0.27,0.28,0.96,10.42,0.5,11.32,11.51,,,,
2022-08-08T15:54:22+00:00,104,199.97,0.55,0.28,0.99,11.2,0.5,11.71,12.3,,,,
2022-08-08T15:55:12+00:00,105,199.55,0.13,0.41,0.99,12.86,0.5,11.53,12.94,,,,
2022-08-08T15:56:12+00:00,106,201.23,0.27,0.28,0.84,14.46,0.5,11.67,13.88,,,,
2022-08-08T15:56:33+00:00,107,200.81,0.41,0.41,0.98,15.8,0.5,11.79,14.67,,,,
2022-08-08T15:57:03+00:00,108,3.34,0.27,0.14,0.87,15.8,0.5,11.79,14.67,,,,
2022-08-08T15:57:23+00:00,109,2.09,0.69,0,0.87,15.8,0.5,11.79,14.68,,,,
2022-08-08T15:57:43+00:00,110,3.76,0.41,0.28,0.86,15.82,0.5,11.8,14.69,,,,
2022-08-08T15:58:03+00:00,111,3.76,0.41,0.28,0.86,15.82,0.5,11.8,14.69,,,,
2022-08-08T15:58:23+00:00,112,3.76,0.41,0.28,0.86,15.82,0.5,11.8,14.69,,,,
2022-08-08T15:58:54+00:00,113,2.09,0.27,0.41,0.87,0,0,0,0,,,,
2022-08-08T15:59:14+00:00,114,1.67,0.27,0,0.9,0,0,0,0,,,,
2022-08-08T16:00:14+00:00,115,199.97,0.41,0.28,0.87,0.5,0,0.24,0.5,,,,
2022-08-08T16:00:44+00:00,116,2.92,0.69,0.28,0.82,1.06,0,0.38,0.92,,,,
2022-08-08T16:01:15+00:00,117,198.3,0.41,0.28,0.98,1.62,0,1.09,1.9,,,,
2022-08-08T16:01:55+00:00,118,198.72,0.27,0.28,0.97,2.44,0,1.35,2.58,,,,
2022-08-08T16:02:15+00:00,119,198.3,0.41,0.41,0.97,3.26,0,1.35,2.98,,,,
2022-08-08T16:03:05+00:00,120,195.37,0.41,0.41,0.93,6.68,0,0.94,4.28,,,,
2022-08-08T16:04:06+00:00,121,200.81,0.41,0.14,0.93,6.94,0,2,5.47,,,,
2022-08-08T16:04:36+00:00,122,200.81,0.27,0.41,0.99,8.08,0,2.14,6.17,,,,
2022-08-08T16:05:36+00:00,123,36.39,0.55,0.55,0.99,9.98,0,2.13,7.12,,,,
2022-08-08T16:06:16+00:00,124,202.48,0.55,0.14,0.81,11.14,0,2.36,7.92,,,,
2022-08-08T16:06:37+00:00,125,65.26,0.55,0.28,0.81,11.28,0,2.44,8.07,,,,
2022-08-08T16:06:57+00:00,126,199.14,0.13,-0.13,0.81,11.06,0,2.66,8.19,,,,
2022-08-08T16:07:17+00:00,127,109.19,0.27,0.28,0.81,11.78,0,2.89,8.77,,,,
2022-08-08T16:08:27+00:00,128,14.64,0.41,0.28,0.81,12.5,0,3.12,9.36,,,,
2022-08-08T16:08:47+00:00,129,201.65,0.13,0.28,0.99,13.24,0,3.01,9.62,,,,
2022-08-08T16:09:08+00:00,130,200.81,0.55,0.14,0.98,13.52,0,3.42,10.17,,,,
2022-08-08T16:11:08+00:00,131,203.32,0.41,0.28,0.99,12.7,0,5.23,11.57,,,,
2022-08-08T16:11:59+00:00,132,202.06,0.41,0,0.81,14.4,0,5.45,12.64,,,,
2022-08-08T16:12:19+00:00,133,205.83,0.41,0.41,0.99,15.26,0,5.45,13.07,,,,
2022-08-08T16:13:09+00:00,134,206.25,0.41,0.14,0.99,16.72,0,6.02,14.37,,,,
2022-08-08T16:14:00+00:00,135,205.83,0.41,0.28,0.99,18.1,0,6.32,15.36,,,,
2022-08-08T16:14:20+00:00,136,206.67,0.27,0.14,0.97,18.4,0,6.46,15.65,,,,
2022-08-08T16:14:50+00:00,137,205.41,0.41,0.14,0.98,19.26,0,6.88,16.5,,,,
2022-08-08T16:15:10+00:00,138,205.83,0.41,0.41,0.99,20.12,0,6.88,16.93,,,,
